[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] AGGRESSIVE LEARNING MODE!

============================================================
[START] AGGRESSIVE LEARNING STARTED
============================================================

[EPISODE 1] Step: 39 | Reward: -108.36 | Avg-100: -108.36
[EPISODE 2] Step: 150 | Reward: -397.73 | Avg-100: -253.05
[EPISODE 3] Step: 214 | Reward: -233.29 | Avg-100: -246.46
[EPISODE 4] Step: 231 | Reward: -69.13 | Avg-100: -202.13
[EPISODE 5] Step: 250 | Reward: -43.38 | Avg-100: -170.38
[EPISODE 6] Step: 277 | Reward: -57.05 | Avg-100: -151.49
[EPISODE 7] Step: 383 | Reward: -325.86 | Avg-100: -176.40
[EPISODE 8] Step: 1,383 | Reward: -3061.49 | Avg-100: -537.04
[EPISODE 9] Step: 1,407 | Reward: -72.86 | Avg-100: -485.46
[EPISODE 10] Step: 1,477 | Reward: -235.57 | Avg-100: -460.47
[EPISODE 11] Step: 1,497 | Reward: -63.55 | Avg-100: -424.39
[EPISODE 12] Step: 1,578 | Reward: -254.89 | Avg-100: -410.26
[EPISODE 13] Step: 1,613 | Reward: -80.19 | Avg-100: -384.87
[EPISODE 14] Step: 1,631 | Reward: -68.14 | Avg-100: -362.25
[EPISODE 15] Step: 1,710 | Reward: -251.05 | Avg-100: -354.84
[EPISODE 16] Step: 1,931 | Reward: -663.02 | Avg-100: -374.10
[EPISODE 17] Step: 2,015 | Reward: -234.58 | Avg-100: -365.89
[EPISODE 18] Step: 2,125 | Reward: -398.11 | Avg-100: -367.68
[EPISODE 19] Step: 2,171 | Reward: -112.44 | Avg-100: -354.25
[EPISODE 20] Step: 2,253 | Reward: -272.77 | Avg-100: -350.17
[EPISODE 21] Step: 2,267 | Reward: -35.32 | Avg-100: -335.18
[EPISODE 22] Step: 2,385 | Reward: -409.51 | Avg-100: -338.56
[EPISODE 23] Step: 2,403 | Reward: -71.12 | Avg-100: -326.93
[EPISODE 24] Step: 2,480 | Reward: -228.67 | Avg-100: -322.84
[EPISODE 25] Step: 2,554 | Reward: -269.46 | Avg-100: -320.70
[EPISODE 26] Step: 2,650 | Reward: -285.98 | Avg-100: -319.37
[EPISODE 27] Step: 2,694 | Reward: -94.84 | Avg-100: -311.05
[EPISODE 28] Step: 2,767 | Reward: -204.53 | Avg-100: -307.25
[EPISODE 29] Step: 2,787 | Reward: -35.35 | Avg-100: -297.87
[EPISODE 30] Step: 2,843 | Reward: -163.20 | Avg-100: -293.38
[EPISODE 31] Step: 2,867 | Reward: -83.28 | Avg-100: -286.60
[EPISODE 32] Step: 2,895 | Reward: -61.45 | Avg-100: -279.57
[EPISODE 33] Step: 2,919 | Reward: -65.44 | Avg-100: -273.08
[EPISODE 34] Step: 2,972 | Reward: -190.56 | Avg-100: -270.65
[EPISODE 35] Step: 2,987 | Reward: -40.94 | Avg-100: -264.09
[EPISODE 36] Step: 3,027 | Reward: -133.82 | Avg-100: -260.47
[EPISODE 37] Step: 3,061 | Reward: -113.25 | Avg-100: -256.49
[EPISODE 38] Step: 3,131 | Reward: -203.08 | Avg-100: -255.09
[EPISODE 39] Step: 3,175 | Reward: -137.00 | Avg-100: -252.06
[EPISODE 40] Step: 3,184 | Reward: -38.56 | Avg-100: -246.72
[EPISODE 41] Step: 3,200 | Reward: -53.41 | Avg-100: -242.01
[EPISODE 42] Step: 3,240 | Reward: -119.81 | Avg-100: -239.10
[EPISODE 43] Step: 3,264 | Reward: -66.16 | Avg-100: -235.07
[EPISODE 44] Step: 3,366 | Reward: -208.35 | Avg-100: -234.47
[EPISODE 45] Step: 3,377 | Reward: -35.50 | Avg-100: -230.05
[EPISODE 46] Step: 3,411 | Reward: -80.91 | Avg-100: -226.80
