[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 100] Step: 18,176 | Reward: -16.85 | Avg-100: -66.43 | Speed: 2830 steps/s
[EPISODE 101] Step: 18,496 | Reward: -104.82 | Avg-100: -67.34 | Speed: 227316 steps/s
[EPISODE 102] Step: 18,832 | Reward: -9.97 | Avg-100: -67.32 | Speed: 212650 steps/s
[EPISODE 103] Step: 19,040 | Reward: -16.75 | Avg-100: -67.38 | Speed: 328156 steps/s
[EPISODE 104] Step: 19,120 | Reward: -51.96 | Avg-100: -67.72 | Speed: 868368 steps/s
[EPISODE 105] Step: 19,376 | Reward: -4.42 | Avg-100: -67.43 | Speed: 285962 steps/s
[EPISODE 106] Step: 19,632 | Reward: 57.77 | Avg-100: -66.21 | Speed: 212731 steps/s
[EPISODE 107] Step: 19,776 | Reward: -98.06 | Avg-100: -67.03 | Speed: 476193 steps/s
[EPISODE 108] Step: 19,792 | Reward: -66.19 | Avg-100: -67.11 | Speed: 3592429 steps/s
[EPISODE 109] Step: 19,920 | Reward: -8.90 | Avg-100: -66.49 | Speed: 580677 steps/s
[EPISODE 110] Step: 19,968 | Reward: -8.62 | Avg-100: -66.49 | Speed: 1429946 steps/s
[EPISODE 111] Step: 19,968 | Reward: -12.95 | Avg-100: -66.61 | Speed: 0 steps/s
[EPISODE 112] Step: 20,512 | Reward: -2.32 | Avg-100: -66.46 | Speed: 117291 steps/s
[EPISODE 113] Step: 21,040 | Reward: -8.43 | Avg-100: -65.79 | Speed: 96374 steps/s
[EPISODE 114] Step: 21,248 | Reward: -93.41 | Avg-100: -65.88 | Speed: 303119 steps/s
[EPISODE 115] Step: 21,584 | Reward: -82.45 | Avg-100: -66.09 | Speed: 180867 steps/s
[EPISODE 116] Step: 21,664 | Reward: 3.07 | Avg-100: -65.93 | Speed: 825756 steps/s
[EPISODE 117] Step: 22,192 | Reward: -128.23 | Avg-100: -66.59 | Speed: 114707 steps/s
[EPISODE 118] Step: 22,400 | Reward: -205.94 | Avg-100: -68.22 | Speed: 340009 steps/s
[EPISODE 119] Step: 22,832 | Reward: -77.71 | Avg-100: -68.81 | Speed: 158223 steps/s
[EPISODE 120] Step: 23,024 | Reward: -482.99 | Avg-100: -73.41 | Speed: 372959 steps/s
