[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] BALANCED MODE - Forward velocity dominant!

============================================================
[START] BALANCED TRAINING STARTED
============================================================

[EPISODE 1] Step: 28 | Reward: -95.93 | Avg-100: -95.93
[EPISODE 2] Step: 134 | Reward: -343.56 | Avg-100: -219.75
[EPISODE 3] Step: 157 | Reward: -70.78 | Avg-100: -170.09
[EPISODE 4] Step: 230 | Reward: -249.18 | Avg-100: -189.86
[EPISODE 5] Step: 278 | Reward: -134.20 | Avg-100: -178.73
[EPISODE 6] Step: 311 | Reward: -78.14 | Avg-100: -161.96
[EPISODE 7] Step: 338 | Reward: -81.37 | Avg-100: -150.45
[EPISODE 8] Step: 410 | Reward: -239.17 | Avg-100: -161.54
[EPISODE 9] Step: 424 | Reward: -43.85 | Avg-100: -148.46
[EPISODE 10] Step: 477 | Reward: -148.53 | Avg-100: -148.47
[EPISODE 11] Step: 509 | Reward: -100.63 | Avg-100: -144.12
[EPISODE 12] Step: 1,509 | Reward: -2963.00 | Avg-100: -379.03
[EPISODE 13] Step: 1,566 | Reward: -207.33 | Avg-100: -365.82
[EPISODE 14] Step: 1,595 | Reward: -88.67 | Avg-100: -346.02
[EPISODE 15] Step: 2,595 | Reward: -3050.50 | Avg-100: -526.32
[EPISODE 16] Step: 2,636 | Reward: -125.07 | Avg-100: -501.24
[EPISODE 17] Step: 2,694 | Reward: -136.28 | Avg-100: -479.77
[EPISODE 18] Step: 2,710 | Reward: -47.23 | Avg-100: -455.74
[EPISODE 19] Step: 3,074 | Reward: -1136.86 | Avg-100: -491.59
[EPISODE 20] Step: 3,130 | Reward: -132.88 | Avg-100: -473.66
[EPISODE 21] Step: 3,143 | Reward: -50.49 | Avg-100: -453.51
[EPISODE 22] Step: 3,156 | Reward: -31.15 | Avg-100: -434.31
[EPISODE 23] Step: 3,181 | Reward: -84.30 | Avg-100: -419.09
[EPISODE 24] Step: 3,327 | Reward: -314.46 | Avg-100: -414.73
[EPISODE 25] Step: 3,393 | Reward: -188.95 | Avg-100: -405.70
[EPISODE 26] Step: 3,407 | Reward: -55.03 | Avg-100: -392.21
[EPISODE 27] Step: 3,477 | Reward: -251.12 | Avg-100: -386.99
[EPISODE 28] Step: 3,509 | Reward: -79.61 | Avg-100: -376.01
[EPISODE 29] Step: 3,619 | Reward: -305.31 | Avg-100: -373.57
[EPISODE 30] Step: 3,659 | Reward: -114.41 | Avg-100: -364.93
[EPISODE 31] Step: 4,659 | Reward: -2982.19 | Avg-100: -449.36
[EPISODE 32] Step: 4,671 | Reward: -32.84 | Avg-100: -436.34
[EPISODE 33] Step: 4,693 | Reward: -57.91 | Avg-100: -424.88
[EPISODE 34] Step: 4,730 | Reward: -141.29 | Avg-100: -416.54
[EPISODE 35] Step: 5,575 | Reward: -2574.52 | Avg-100: -478.19
[EPISODE 36] Step: 5,598 | Reward: -78.42 | Avg-100: -467.09
[EPISODE 37] Step: 5,660 | Reward: -193.36 | Avg-100: -459.69
[EPISODE 38] Step: 5,724 | Reward: -225.59 | Avg-100: -453.53
[EPISODE 39] Step: 5,764 | Reward: -151.94 | Avg-100: -445.80
[EPISODE 40] Step: 5,788 | Reward: -58.68 | Avg-100: -436.12
