[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 7,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)
[OK] Pre-trained model loaded.

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 1] Step: 547 | Reward: 1233.50 | Avg-100: 1233.50
[EPISODE 2] Step: 1,547 | Reward: 2432.95 | Avg-100: 1833.22
[EPISODE 3] Step: 2,300 | Reward: 1912.26 | Avg-100: 1859.57
[EPISODE 4] Step: 3,300 | Reward: 2649.34 | Avg-100: 2057.01
[EPISODE 5] Step: 4,233 | Reward: 1779.57 | Avg-100: 2001.52
[EPISODE 6] Step: 5,120 | Reward: 1982.60 | Avg-100: 1998.37
[EPISODE 7] Step: 5,131 | Reward: -1.70 | Avg-100: 1712.65
[EPISODE 8] Step: 5,837 | Reward: 1673.37 | Avg-100: 1707.74
[EPISODE 9] Step: 6,837 | Reward: 2377.71 | Avg-100: 1782.18
[EPISODE 10] Step: 7,837 | Reward: 2330.24 | Avg-100: 1836.98
[EPISODE 11] Step: 8,837 | Reward: 2087.74 | Avg-100: 1859.78
[EPISODE 12] Step: 9,837 | Reward: -286.17 | Avg-100: 1680.95
[EPISODE 13] Step: 10,837 | Reward: 2008.88 | Avg-100: 1706.18
[EPISODE 14] Step: 10,862 | Reward: 13.53 | Avg-100: 1585.27
[EPISODE 15] Step: 11,793 | Reward: 2138.22 | Avg-100: 1622.14
[EPISODE 16] Step: 12,433 | Reward: 1352.43 | Avg-100: 1605.28
[EPISODE 17] Step: 12,834 | Reward: 789.54 | Avg-100: 1557.30
[EPISODE 18] Step: 13,834 | Reward: -239.83 | Avg-100: 1457.45
[EPISODE 19] Step: 14,164 | Reward: 777.40 | Avg-100: 1421.66
[EPISODE 20] Step: 14,704 | Reward: 1108.66 | Avg-100: 1406.01
[EPISODE 21] Step: 15,704 | Reward: 100.85 | Avg-100: 1343.86
[EPISODE 22] Step: 16,704 | Reward: 2316.15 | Avg-100: 1388.06
[EPISODE 23] Step: 17,686 | Reward: 2516.06 | Avg-100: 1437.10
[EPISODE 24] Step: 17,846 | Reward: 262.84 | Avg-100: 1388.17
[EPISODE 25] Step: 18,846 | Reward: 2281.38 | Avg-100: 1423.90
[EPISODE 26] Step: 19,846 | Reward: 2222.61 | Avg-100: 1454.62
[EPISODE 27] Step: 20,846 | Reward: -20.38 | Avg-100: 1399.99
