[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000

============================================================
[START] TRAINING STARTED
============================================================

[EPISODE 1] Step: 14 | Reward: -53.58 | Avg-100: -53.58
[EPISODE 2] Step: 45 | Reward: -124.53 | Avg-100: -89.05
[EPISODE 3] Step: 84 | Reward: -106.85 | Avg-100: -94.99
[EPISODE 4] Step: 96 | Reward: -21.90 | Avg-100: -76.71
[EPISODE 5] Step: 161 | Reward: -246.59 | Avg-100: -110.69
[EPISODE 6] Step: 245 | Reward: -212.18 | Avg-100: -127.60
[EPISODE 7] Step: 279 | Reward: -88.65 | Avg-100: -122.04
[EPISODE 8] Step: 455 | Reward: -527.96 | Avg-100: -172.78
[EPISODE 9] Step: 553 | Reward: -262.14 | Avg-100: -182.71
[EPISODE 10] Step: 598 | Reward: -123.16 | Avg-100: -176.75
[EPISODE 11] Step: 700 | Reward: -303.46 | Avg-100: -188.27
[EPISODE 12] Step: 797 | Reward: -260.10 | Avg-100: -194.26
[EPISODE 13] Step: 810 | Reward: -35.72 | Avg-100: -182.06
[EPISODE 14] Step: 879 | Reward: -249.79 | Avg-100: -186.90
[EPISODE 15] Step: 916 | Reward: -104.93 | Avg-100: -181.44
[EPISODE 16] Step: 930 | Reward: -49.51 | Avg-100: -173.19
[EPISODE 17] Step: 1,011 | Reward: -199.16 | Avg-100: -174.72
[EPISODE 18] Step: 1,051 | Reward: -156.17 | Avg-100: -173.69
[EPISODE 19] Step: 1,123 | Reward: -245.53 | Avg-100: -177.47
[EPISODE 20] Step: 2,123 | Reward: -3075.39 | Avg-100: -322.36
[EPISODE 21] Step: 2,164 | Reward: -93.24 | Avg-100: -311.45
[EPISODE 22] Step: 2,184 | Reward: -54.58 | Avg-100: -299.78
[EPISODE 23] Step: 2,203 | Reward: -57.54 | Avg-100: -289.25
[EPISODE 24] Step: 2,263 | Reward: -221.87 | Avg-100: -286.44
[EPISODE 25] Step: 2,366 | Reward: -322.57 | Avg-100: -287.88
[EPISODE 26] Step: 2,382 | Reward: -57.85 | Avg-100: -279.04
[EPISODE 27] Step: 2,432 | Reward: -154.89 | Avg-100: -274.44
[EPISODE 28] Step: 2,698 | Reward: -845.64 | Avg-100: -294.84
[EPISODE 29] Step: 2,722 | Reward: -106.90 | Avg-100: -288.36
[EPISODE 30] Step: 3,722 | Reward: -2866.45 | Avg-100: -374.29
[EPISODE 31] Step: 3,801 | Reward: -235.95 | Avg-100: -369.83
[EPISODE 32] Step: 3,843 | Reward: -110.52 | Avg-100: -361.73
[EPISODE 33] Step: 3,885 | Reward: -125.07 | Avg-100: -354.56
[EPISODE 34] Step: 3,915 | Reward: -61.82 | Avg-100: -345.95
[EPISODE 35] Step: 3,981 | Reward: -222.61 | Avg-100: -342.42
[EPISODE 36] Step: 4,009 | Reward: -75.95 | Avg-100: -335.02
[EPISODE 37] Step: 4,033 | Reward: -89.96 | Avg-100: -328.40
[EPISODE 38] Step: 4,097 | Reward: -223.36 | Avg-100: -325.63
[EPISODE 39] Step: 4,133 | Reward: -86.31 | Avg-100: -319.50
[EPISODE 40] Step: 4,178 | Reward: -133.77 | Avg-100: -314.85
[EPISODE 41] Step: 4,330 | Reward: -442.88 | Avg-100: -317.98
[EPISODE 42] Step: 4,345 | Reward: -62.08 | Avg-100: -311.88
[EPISODE 43] Step: 4,363 | Reward: -60.49 | Avg-100: -306.04
[EPISODE 44] Step: 4,419 | Reward: -191.46 | Avg-100: -303.43
[EPISODE 45] Step: 4,445 | Reward: -79.50 | Avg-100: -298.46
[EPISODE 46] Step: 4,463 | Reward: -52.09 | Avg-100: -293.10
[EPISODE 47] Step: 4,497 | Reward: -139.02 | Avg-100: -289.82
[EPISODE 48] Step: 4,515 | Reward: -57.63 | Avg-100: -284.99
[EPISODE 49] Step: 4,548 | Reward: -102.28 | Avg-100: -281.26
[EPISODE 50] Step: 4,567 | Reward: -62.23 | Avg-100: -276.88
[EPISODE 51] Step: 4,588 | Reward: -29.86 | Avg-100: -272.03
[EPISODE 52] Step: 4,690 | Reward: -313.94 | Avg-100: -272.84
[EPISODE 53] Step: 4,704 | Reward: -75.23 | Avg-100: -269.11
[EPISODE 54] Step: 4,730 | Reward: -77.91 | Avg-100: -265.57
[EPISODE 55] Step: 4,809 | Reward: -183.30 | Avg-100: -264.07
[EPISODE 56] Step: 4,823 | Reward: -49.89 | Avg-100: -260.25
[EPISODE 57] Step: 5,061 | Reward: -642.90 | Avg-100: -266.96
[EPISODE 58] Step: 5,109 | Reward: -173.75 | Avg-100: -265.36
[EPISODE 59] Step: 5,136 | Reward: -112.46 | Avg-100: -262.76
[EPISODE 60] Step: 5,185 | Reward: -134.39 | Avg-100: -260.62
[EPISODE 61] Step: 5,228 | Reward: -130.81 | Avg-100: -258.50
[EPISODE 62] Step: 5,270 | Reward: -125.47 | Avg-100: -256.35
[EPISODE 63] Step: 5,428 | Reward: -464.51 | Avg-100: -259.65
[EPISODE 64] Step: 5,442 | Reward: -45.56 | Avg-100: -256.31
[EPISODE 65] Step: 5,474 | Reward: -147.19 | Avg-100: -254.63
[EPISODE 66] Step: 5,486 | Reward: -38.76 | Avg-100: -251.36
[EPISODE 67] Step: 5,500 | Reward: -31.10 | Avg-100: -248.07
[EPISODE 68] Step: 5,557 | Reward: -210.00 | Avg-100: -247.51
[EPISODE 69] Step: 5,593 | Reward: -137.39 | Avg-100: -245.92
[EPISODE 70] Step: 5,629 | Reward: -119.15 | Avg-100: -244.11
[EPISODE 71] Step: 5,661 | Reward: -62.25 | Avg-100: -241.54
[EPISODE 72] Step: 5,747 | Reward: -232.15 | Avg-100: -241.41
[EPISODE 73] Step: 5,763 | Reward: -38.71 | Avg-100: -238.64
[EPISODE 74] Step: 5,780 | Reward: -71.01 | Avg-100: -236.37
[EPISODE 75] Step: 5,800 | Reward: -65.89 | Avg-100: -234.10
[EPISODE 76] Step: 6,800 | Reward: -3104.00 | Avg-100: -271.86
[EPISODE 77] Step: 6,830 | Reward: -77.40 | Avg-100: -269.34
[EPISODE 78] Step: 6,862 | Reward: -109.53 | Avg-100: -267.29
[EPISODE 79] Step: 6,886 | Reward: -74.68 | Avg-100: -264.85
[EPISODE 80] Step: 6,900 | Reward: -41.34 | Avg-100: -262.05
[EPISODE 81] Step: 6,925 | Reward: -59.69 | Avg-100: -259.56
[EPISODE 82] Step: 6,991 | Reward: -141.98 | Avg-100: -258.12
[EPISODE 83] Step: 7,033 | Reward: -134.26 | Avg-100: -256.63
[EPISODE 84] Step: 7,069 | Reward: -98.67 | Avg-100: -254.75
[EPISODE 85] Step: 7,079 | Reward: -37.91 | Avg-100: -252.20
[EPISODE 86] Step: 7,140 | Reward: -170.82 | Avg-100: -251.25
[EPISODE 87] Step: 7,200 | Reward: -114.00 | Avg-100: -249.67
[EPISODE 88] Step: 7,263 | Reward: -162.99 | Avg-100: -248.69
[EPISODE 89] Step: 7,313 | Reward: -199.66 | Avg-100: -248.14
[EPISODE 90] Step: 8,313 | Reward: -3101.80 | Avg-100: -279.85
[EPISODE 91] Step: 8,345 | Reward: -83.39 | Avg-100: -277.69
[EPISODE 92] Step: 8,483 | Reward: -401.98 | Avg-100: -279.04
[EPISODE 93] Step: 8,551 | Reward: -227.15 | Avg-100: -278.48
[EPISODE 94] Step: 8,573 | Reward: -103.95 | Avg-100: -276.62
[EPISODE 95] Step: 8,600 | Reward: -93.60 | Avg-100: -274.70
[EPISODE 96] Step: 8,736 | Reward: -413.36 | Avg-100: -276.14
[EPISODE 97] Step: 8,794 | Reward: -136.73 | Avg-100: -274.70
[EPISODE 98] Step: 8,834 | Reward: -51.02 | Avg-100: -272.42
[EPISODE 99] Step: 8,888 | Reward: -152.00 | Avg-100: -271.21
[EPISODE 100] Step: 8,930 | Reward: -115.37 | Avg-100: -269.65
[EPISODE 101] Step: 9,001 | Reward: -124.44 | Avg-100: -270.36
[EPISODE 102] Step: 10,001 | Reward: -3091.87 | Avg-100: -300.03
[EPISODE 103] Step: 10,027 | Reward: -86.17 | Avg-100: -299.82
[EPISODE 104] Step: 10,078 | Reward: -174.27 | Avg-100: -301.35
[EPISODE 105] Step: 10,107 | Reward: -96.09 | Avg-100: -299.84
[EPISODE 106] Step: 10,158 | Reward: -150.25 | Avg-100: -299.22
[EPISODE 107] Step: 10,173 | Reward: -33.08 | Avg-100: -298.67
[EPISODE 108] Step: 10,236 | Reward: -202.57 | Avg-100: -295.41
[BEST MODEL] New record! Avg Reward: -295.41
[EPISODE 109] Step: 10,253 | Reward: -52.16 | Avg-100: -293.31
[EPISODE 110] Step: 10,303 | Reward: -187.73 | Avg-100: -293.96
