[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 8,000,000
[INFO] Parallel Envs: 24
[INFO] Expected Speedup: 24x (from 8 hours to ~1 hour!)
[INFO] Energy Penalties: action=0.05, jerk=0.2

============================================================
[START] PARALLEL TRAINING STARTED
============================================================

[EPISODE 100] Step: 17,160 | Reward: -65.91 | Avg-100: -45.51
[EPISODE 101] Step: 17,904 | Reward: -26.39 | Avg-100: -45.66
[EPISODE 102] Step: 18,792 | Reward: -46.48 | Avg-100: -46.00
[EPISODE 103] Step: 19,416 | Reward: -25.86 | Avg-100: -46.21
[EPISODE 104] Step: 19,488 | Reward: -119.42 | Avg-100: -47.39
[EPISODE 105] Step: 19,728 | Reward: -92.92 | Avg-100: -48.15
[EPISODE 106] Step: 20,256 | Reward: -21.63 | Avg-100: -48.05
[EPISODE 107] Step: 20,736 | Reward: -6.59 | Avg-100: -47.96
[EPISODE 108] Step: 20,952 | Reward: -83.54 | Avg-100: -48.55
[EPISODE 109] Step: 21,504 | Reward: -57.68 | Avg-100: -49.03
[EPISODE 110] Step: 22,128 | Reward: -19.83 | Avg-100: -49.08
[EPISODE 111] Step: 22,416 | Reward: -35.89 | Avg-100: -49.08
[EPISODE 112] Step: 22,512 | Reward: -88.97 | Avg-100: -49.60
[EPISODE 113] Step: 22,536 | Reward: -14.62 | Avg-100: -49.88
[EPISODE 114] Step: 22,968 | Reward: -6.71 | Avg-100: -49.67
[EPISODE 115] Step: 23,208 | Reward: -135.10 | Avg-100: -50.78
[EPISODE 116] Step: 23,280 | Reward: -5.63 | Avg-100: -50.37
[EPISODE 117] Step: 23,496 | Reward: -116.17 | Avg-100: -51.22
[EPISODE 118] Step: 23,904 | Reward: -20.87 | Avg-100: -51.36
[EPISODE 119] Step: 23,952 | Reward: -49.86 | Avg-100: -51.47
[EPISODE 120] Step: 24,000 | Reward: -441.75 | Avg-100: -55.80
[EPISODE 121] Step: 24,000 | Reward: -517.20 | Avg-100: -60.74
[EPISODE 122] Step: 24,000 | Reward: -449.39 | Avg-100: -65.12
[EPISODE 123] Step: 24,384 | Reward: -7.78 | Avg-100: -64.77
[EPISODE 124] Step: 24,384 | Reward: -508.10 | Avg-100: -69.31
[EPISODE 125] Step: 24,768 | Reward: -560.54 | Avg-100: -74.22
[EPISODE 126] Step: 24,888 | Reward: -14.81 | Avg-100: -73.69
[EPISODE 127] Step: 25,176 | Reward: -15.60 | Avg-100: -73.07
[EPISODE 128] Step: 25,224 | Reward: 0.18 | Avg-100: -72.52
[EPISODE 129] Step: 25,392 | Reward: -16.54 | Avg-100: -72.42
[EPISODE 130] Step: 25,728 | Reward: -24.17 | Avg-100: -71.87
[EPISODE 131] Step: 25,992 | Reward: -30.10 | Avg-100: -71.99
[EPISODE 132] Step: 26,016 | Reward: -105.68 | Avg-100: -73.04
[EPISODE 133] Step: 26,160 | Reward: -424.27 | Avg-100: -77.05
[EPISODE 134] Step: 26,208 | Reward: -85.50 | Avg-100: -77.85
[EPISODE 135] Step: 26,256 | Reward: -17.44 | Avg-100: -77.72
[EPISODE 136] Step: 26,352 | Reward: -119.32 | Avg-100: -77.45
[EPISODE 137] Step: 26,808 | Reward: -536.28 | Avg-100: -82.32
[EPISODE 138] Step: 26,928 | Reward: -29.51 | Avg-100: -82.49
[EPISODE 139] Step: 27,096 | Reward: -111.02 | Avg-100: -83.18
[EPISODE 140] Step: 27,192 | Reward: -106.74 | Avg-100: -84.32
[EPISODE 141] Step: 27,336 | Reward: -21.92 | Avg-100: -84.02
[EPISODE 142] Step: 27,384 | Reward: -23.99 | Avg-100: -84.10
[EPISODE 143] Step: 27,384 | Reward: -466.29 | Avg-100: -88.44
[EPISODE 144] Step: 27,504 | Reward: -509.97 | Avg-100: -93.14
[EPISODE 145] Step: 27,528 | Reward: -51.98 | Avg-100: -92.80
