[INFO] Creating 12 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] VANILLA MODE: Ant-v5 base reward only!
[INFO] Anti-hopping: Built-in contact_cost penalty!

============================================================
[START] OPTIMIZED VANILLA TRAINING
============================================================

[EPISODE 100] Step: 21,300 | Reward: -48.02 | Avg-100: -75.25 | Speed: 2123 steps/s
[EPISODE 101] Step: 21,444 | Reward: -35.79 | Avg-100: -75.53 | Speed: 390170 steps/s
[EPISODE 102] Step: 21,708 | Reward: -108.27 | Avg-100: -76.31 | Speed: 215728 steps/s
[EPISODE 103] Step: 21,948 | Reward: -34.88 | Avg-100: -76.45 | Speed: 215452 steps/s
[EPISODE 104] Step: 23,184 | Reward: -83.86 | Avg-100: -77.28 | Speed: 40491 steps/s
[EPISODE 105] Step: 24,000 | Reward: -359.71 | Avg-100: -80.45 | Speed: 65510 steps/s
[EPISODE 106] Step: 24,000 | Reward: -423.97 | Avg-100: -84.41 | Speed: 0 steps/s
[EPISODE 107] Step: 24,072 | Reward: -361.49 | Avg-100: -88.01 | Speed: 721934 steps/s
[EPISODE 108] Step: 24,228 | Reward: -12.54 | Avg-100: -87.88 | Speed: 348451 steps/s
[EPISODE 109] Step: 24,396 | Reward: 10.51 | Avg-100: -87.59 | Speed: 317306 steps/s
[EPISODE 110] Step: 24,504 | Reward: -12.11 | Avg-100: -87.63 | Speed: 516574 steps/s
[BEST MODEL] New record! Avg Reward: -87.63
[EPISODE 111] Step: 25,404 | Reward: -339.86 | Avg-100: -90.96 | Speed: 19882 steps/s
[EPISODE 112] Step: 26,496 | Reward: -24.49 | Avg-100: -91.02 | Speed: 46408 steps/s
[EPISODE 113] Step: 26,784 | Reward: -274.66 | Avg-100: -93.20 | Speed: 160479 steps/s
[EPISODE 114] Step: 26,856 | Reward: -344.68 | Avg-100: -96.84 | Speed: 764072 steps/s
[EPISODE 115] Step: 27,084 | Reward: -16.59 | Avg-100: -95.51 | Speed: 254938 steps/s
[EPISODE 116] Step: 27,336 | Reward: -23.80 | Avg-100: -94.66 | Speed: 211665 steps/s
[EPISODE 117] Step: 27,456 | Reward: -81.83 | Avg-100: -94.27 | Speed: 430835 steps/s
[EPISODE 118] Step: 27,708 | Reward: -6.75 | Avg-100: -93.14 | Speed: 230720 steps/s
[EPISODE 119] Step: 27,960 | Reward: -23.43 | Avg-100: -92.29 | Speed: 250175 steps/s
[EPISODE 120] Step: 28,080 | Reward: -18.52 | Avg-100: -91.84 | Speed: 462754 steps/s
[EPISODE 121] Step: 28,224 | Reward: -13.46 | Avg-100: -89.35 | Speed: 398203 steps/s
[EPISODE 122] Step: 28,248 | Reward: -11.90 | Avg-100: -88.66 | Speed: 1795000 steps/s
[EPISODE 123] Step: 28,416 | Reward: -3.70 | Avg-100: -88.37 | Speed: 375053 steps/s
[EPISODE 124] Step: 28,512 | Reward: 12.14 | Avg-100: -87.54 | Speed: 602423 steps/s
[EPISODE 125] Step: 28,548 | Reward: -329.52 | Avg-100: -90.50 | Speed: 1633080 steps/s
[EPISODE 126] Step: 28,644 | Reward: -28.80 | Avg-100: -90.60 | Speed: 586994 steps/s
[EPISODE 127] Step: 28,728 | Reward: -20.16 | Avg-100: -90.87 | Speed: 660108 steps/s
[EPISODE 128] Step: 28,884 | Reward: -11.48 | Avg-100: -90.88 | Speed: 418436 steps/s
[EPISODE 129] Step: 29,064 | Reward: 12.73 | Avg-100: -90.11 | Speed: 331166 steps/s
[EPISODE 130] Step: 29,088 | Reward: -3.25 | Avg-100: -89.64 | Speed: 2060830 steps/s
[EPISODE 131] Step: 29,460 | Reward: -215.39 | Avg-100: -91.41 | Speed: 96517 steps/s
[EPISODE 132] Step: 29,520 | Reward: -422.11 | Avg-100: -95.59 | Speed: 820728 steps/s
[EPISODE 133] Step: 29,784 | Reward: -36.49 | Avg-100: -95.69 | Speed: 200008 steps/s
[EPISODE 134] Step: 29,784 | Reward: 1.56 | Avg-100: -95.00 | Speed: 49819504 steps/s
[EPISODE 135] Step: 30,168 | Reward: -24.07 | Avg-100: -93.56 | Speed: 151607 steps/s
[EPISODE 136] Step: 30,432 | Reward: -20.35 | Avg-100: -93.18 | Speed: 232251 steps/s
[EPISODE 137] Step: 30,612 | Reward: -34.79 | Avg-100: -93.31 | Speed: 325635 steps/s
