[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 100] Step: 16,104 | Reward: -22.83 | Avg-100: -50.81
[EPISODE 101] Step: 16,608 | Reward: -32.50 | Avg-100: -51.04
[EPISODE 102] Step: 16,704 | Reward: -88.80 | Avg-100: -51.75
[EPISODE 103] Step: 17,016 | Reward: -18.78 | Avg-100: -51.89
[EPISODE 104] Step: 17,136 | Reward: -23.05 | Avg-100: -51.84
[EPISODE 105] Step: 17,160 | Reward: -6.34 | Avg-100: -51.56
[EPISODE 106] Step: 17,304 | Reward: -174.28 | Avg-100: -52.75
[EPISODE 107] Step: 17,760 | Reward: -33.69 | Avg-100: -53.01
[EPISODE 108] Step: 18,432 | Reward: -25.81 | Avg-100: -52.54
[EPISODE 109] Step: 18,624 | Reward: -179.02 | Avg-100: -54.01
[EPISODE 110] Step: 18,864 | Reward: -65.22 | Avg-100: -54.43
[EPISODE 111] Step: 18,912 | Reward: -3.72 | Avg-100: -54.04
[EPISODE 112] Step: 19,080 | Reward: -120.29 | Avg-100: -54.72
[EPISODE 113] Step: 19,272 | Reward: -0.73 | Avg-100: -54.13
[EPISODE 114] Step: 19,344 | Reward: -55.71 | Avg-100: -54.31
[EPISODE 115] Step: 20,016 | Reward: -46.22 | Avg-100: -54.33
[EPISODE 116] Step: 20,520 | Reward: -120.95 | Avg-100: -55.33
[EPISODE 117] Step: 20,832 | Reward: -39.75 | Avg-100: -55.68
[EPISODE 118] Step: 21,120 | Reward: -153.73 | Avg-100: -57.15
[EPISODE 119] Step: 21,336 | Reward: -22.65 | Avg-100: -56.51
[EPISODE 120] Step: 21,456 | Reward: -94.10 | Avg-100: -56.38
[EPISODE 121] Step: 21,456 | Reward: 17.72 | Avg-100: -56.10
[EPISODE 122] Step: 22,056 | Reward: -51.67 | Avg-100: -56.07
[EPISODE 123] Step: 22,080 | Reward: -15.16 | Avg-100: -55.20
