[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 100] Step: 18,792 | Reward: -36.14 | Avg-100: -44.32
[EPISODE 101] Step: 19,080 | Reward: -37.17 | Avg-100: -44.72
[EPISODE 102] Step: 19,176 | Reward: -6.84 | Avg-100: -44.66
[EPISODE 103] Step: 19,248 | Reward: 8.68 | Avg-100: -44.40
[EPISODE 104] Step: 19,848 | Reward: -95.83 | Avg-100: -45.28
[EPISODE 105] Step: 19,872 | Reward: -22.01 | Avg-100: -45.41
[EPISODE 106] Step: 20,232 | Reward: -30.63 | Avg-100: -45.59
[EPISODE 107] Step: 20,616 | Reward: -46.10 | Avg-100: -46.03
[EPISODE 108] Step: 21,024 | Reward: -23.71 | Avg-100: -46.07
[EPISODE 109] Step: 21,384 | Reward: -3.75 | Avg-100: -45.77
[EPISODE 110] Step: 21,432 | Reward: -78.37 | Avg-100: -46.35
[EPISODE 111] Step: 21,648 | Reward: -117.78 | Avg-100: -47.31
[EPISODE 112] Step: 22,296 | Reward: -25.53 | Avg-100: -47.27
[EPISODE 113] Step: 23,040 | Reward: -43.34 | Avg-100: -47.44
[EPISODE 114] Step: 23,232 | Reward: -43.91 | Avg-100: -48.09
[EPISODE 115] Step: 23,424 | Reward: -21.67 | Avg-100: -47.86
[EPISODE 116] Step: 23,448 | Reward: -138.44 | Avg-100: -49.03
[EPISODE 117] Step: 23,784 | Reward: -3.91 | Avg-100: -48.88
[EPISODE 118] Step: 24,000 | Reward: -468.21 | Avg-100: -52.91
[EPISODE 119] Step: 24,000 | Reward: -415.75 | Avg-100: -56.81
[EPISODE 120] Step: 24,000 | Reward: -444.30 | Avg-100: -61.16
[EPISODE 121] Step: 24,024 | Reward: -6.63 | Avg-100: -60.41
[EPISODE 122] Step: 24,168 | Reward: -47.28 | Avg-100: -60.78
[EPISODE 123] Step: 24,696 | Reward: -431.98 | Avg-100: -64.80
[EPISODE 124] Step: 25,128 | Reward: -445.75 | Avg-100: -68.60
[EPISODE 125] Step: 25,512 | Reward: -10.20 | Avg-100: -68.17
[EPISODE 126] Step: 26,016 | Reward: -124.33 | Avg-100: -68.84
[EPISODE 127] Step: 26,184 | Reward: -36.81 | Avg-100: -68.74
[EPISODE 128] Step: 26,232 | Reward: -494.54 | Avg-100: -72.85
[EPISODE 129] Step: 26,256 | Reward: -48.51 | Avg-100: -73.10
[EPISODE 130] Step: 26,328 | Reward: -9.88 | Avg-100: -72.83
[EPISODE 131] Step: 26,616 | Reward: -89.52 | Avg-100: -72.57
[EPISODE 132] Step: 26,808 | Reward: -87.46 | Avg-100: -72.86
[EPISODE 133] Step: 26,832 | Reward: -36.13 | Avg-100: -73.06
[EPISODE 134] Step: 26,976 | Reward: -72.23 | Avg-100: -73.43
[EPISODE 135] Step: 27,384 | Reward: -40.10 | Avg-100: -72.09
[EPISODE 136] Step: 27,456 | Reward: -36.88 | Avg-100: -71.78
[EPISODE 137] Step: 27,504 | Reward: -67.35 | Avg-100: -71.87
[EPISODE 138] Step: 27,504 | Reward: -19.47 | Avg-100: -71.72
[EPISODE 139] Step: 27,552 | Reward: -42.47 | Avg-100: -71.97
[EPISODE 140] Step: 27,696 | Reward: -97.54 | Avg-100: -72.48
[EPISODE 141] Step: 27,960 | Reward: -0.95 | Avg-100: -72.60
[EPISODE 142] Step: 28,104 | Reward: -59.51 | Avg-100: -72.66
[EPISODE 143] Step: 28,224 | Reward: -499.29 | Avg-100: -76.69
[EPISODE 144] Step: 28,488 | Reward: -31.81 | Avg-100: -76.72
[EPISODE 145] Step: 28,560 | Reward: -415.01 | Avg-100: -79.72
[EPISODE 146] Step: 28,824 | Reward: -57.40 | Avg-100: -80.09
[EPISODE 147] Step: 29,208 | Reward: -50.89 | Avg-100: -80.41
[EPISODE 148] Step: 29,376 | Reward: -464.64 | Avg-100: -84.99
[EPISODE 149] Step: 29,664 | Reward: -422.83 | Avg-100: -88.13
[EPISODE 150] Step: 30,024 | Reward: 27.57 | Avg-100: -87.63
[EPISODE 151] Step: 30,096 | Reward: -9.13 | Avg-100: -86.97
[EPISODE 152] Step: 30,144 | Reward: -114.02 | Avg-100: -87.98
[EPISODE 153] Step: 30,264 | Reward: -44.18 | Avg-100: -87.96
[EPISODE 154] Step: 30,528 | Reward: -71.25 | Avg-100: -88.05
[EPISODE 155] Step: 30,672 | Reward: -35.00 | Avg-100: -87.79
[EPISODE 156] Step: 30,864 | Reward: -17.56 | Avg-100: -87.53
[EPISODE 157] Step: 30,888 | Reward: -34.34 | Avg-100: -87.85
[EPISODE 158] Step: 30,960 | Reward: -13.93 | Avg-100: -87.97
[EPISODE 159] Step: 31,080 | Reward: -9.98 | Avg-100: -88.37
[EPISODE 160] Step: 31,128 | Reward: -2.69 | Avg-100: -87.98
[EPISODE 161] Step: 31,320 | Reward: -17.03 | Avg-100: -88.10
