[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 1 | Step: 117 | Reward: -375.00 | Avg-100: -375.00
🎮 Episode 2 | Step: 145 | Reward: -103.90 | Avg-100: -239.45
🎮 Episode 3 | Step: 229 | Reward: -272.72 | Avg-100: -250.54
🎮 Episode 4 | Step: 348 | Reward: -341.60 | Avg-100: -273.30
🎮 Episode 5 | Step: 387 | Reward: -131.43 | Avg-100: -244.93
🎮 Episode 6 | Step: 1,387 | Reward: -2851.34 | Avg-100: -679.33
🎮 Episode 7 | Step: 1,439 | Reward: -187.33 | Avg-100: -609.05
🎮 Episode 8 | Step: 1,491 | Reward: -157.63 | Avg-100: -552.62
🎮 Episode 9 | Step: 1,503 | Reward: -37.48 | Avg-100: -495.38
🎮 Episode 10 | Step: 1,516 | Reward: -42.82 | Avg-100: -450.12
🎮 Episode 11 | Step: 1,776 | Reward: -685.89 | Avg-100: -471.56
🎮 Episode 12 | Step: 1,816 | Reward: -144.86 | Avg-100: -444.33
🎮 Episode 13 | Step: 1,871 | Reward: -186.86 | Avg-100: -424.53
🎮 Episode 14 | Step: 1,913 | Reward: -140.71 | Avg-100: -404.25
🎮 Episode 15 | Step: 1,944 | Reward: -108.51 | Avg-100: -384.54
🎮 Episode 16 | Step: 1,961 | Reward: -43.35 | Avg-100: -363.21
🎮 Episode 17 | Step: 2,019 | Reward: -218.82 | Avg-100: -354.72
🎮 Episode 18 | Step: 2,069 | Reward: -192.47 | Avg-100: -345.71
🎮 Episode 19 | Step: 2,145 | Reward: -251.61 | Avg-100: -340.75
🎮 Episode 20 | Step: 2,168 | Reward: -65.34 | Avg-100: -326.98
🎮 Episode 21 | Step: 2,187 | Reward: -62.18 | Avg-100: -314.37
🎮 Episode 22 | Step: 2,248 | Reward: -231.90 | Avg-100: -310.62
🎮 Episode 23 | Step: 2,270 | Reward: -93.20 | Avg-100: -301.17
🎮 Episode 24 | Step: 2,453 | Reward: -565.93 | Avg-100: -312.20
🎮 Episode 25 | Step: 2,477 | Reward: -88.32 | Avg-100: -303.25
🎮 Episode 26 | Step: 2,492 | Reward: -65.56 | Avg-100: -294.11
🎮 Episode 27 | Step: 2,524 | Reward: -100.46 | Avg-100: -286.93
🎮 Episode 28 | Step: 2,536 | Reward: -47.20 | Avg-100: -278.37
🎮 Episode 29 | Step: 2,633 | Reward: -398.08 | Avg-100: -282.50
🎮 Episode 30 | Step: 2,697 | Reward: -192.12 | Avg-100: -279.49
🎮 Episode 31 | Step: 2,743 | Reward: -133.62 | Avg-100: -274.78
🎮 Episode 32 | Step: 2,803 | Reward: -192.87 | Avg-100: -272.22
🎮 Episode 33 | Step: 2,859 | Reward: -138.99 | Avg-100: -268.18
🎮 Episode 34 | Step: 2,900 | Reward: -156.10 | Avg-100: -264.89
🎮 Episode 35 | Step: 2,920 | Reward: -73.50 | Avg-100: -259.42
🎮 Episode 36 | Step: 2,944 | Reward: -79.20 | Avg-100: -254.41
🎮 Episode 37 | Step: 2,981 | Reward: -117.93 | Avg-100: -250.72
🎮 Episode 38 | Step: 3,018 | Reward: -127.49 | Avg-100: -247.48
🎮 Episode 39 | Step: 3,121 | Reward: -251.49 | Avg-100: -247.58
🎮 Episode 40 | Step: 3,171 | Reward: -149.78 | Avg-100: -245.14
🎮 Episode 41 | Step: 3,186 | Reward: -49.86 | Avg-100: -240.38
🎮 Episode 42 | Step: 3,199 | Reward: -29.00 | Avg-100: -235.34
🎮 Episode 43 | Step: 3,210 | Reward: -26.66 | Avg-100: -230.49
🎮 Episode 44 | Step: 3,272 | Reward: -175.59 | Avg-100: -229.24
🎮 Episode 45 | Step: 3,310 | Reward: -88.99 | Avg-100: -226.13
🎮 Episode 46 | Step: 3,349 | Reward: -136.31 | Avg-100: -224.17
🎮 Episode 47 | Step: 3,375 | Reward: -74.87 | Avg-100: -221.00
🎮 Episode 48 | Step: 3,400 | Reward: -33.62 | Avg-100: -217.09
🎮 Episode 49 | Step: 3,648 | Reward: -726.43 | Avg-100: -227.49
🎮 Episode 50 | Step: 3,671 | Reward: -77.83 | Avg-100: -224.49
🎮 Episode 51 | Step: 3,734 | Reward: -162.39 | Avg-100: -223.28
🎮 Episode 52 | Step: 3,767 | Reward: -87.90 | Avg-100: -220.67
🎮 Episode 53 | Step: 3,804 | Reward: -96.91 | Avg-100: -218.34
🎮 Episode 54 | Step: 3,937 | Reward: -332.92 | Avg-100: -220.46
🎮 Episode 55 | Step: 3,994 | Reward: -190.57 | Avg-100: -219.92
🎮 Episode 56 | Step: 4,994 | Reward: -2931.49 | Avg-100: -268.34
🎮 Episode 57 | Step: 5,994 | Reward: -2907.82 | Avg-100: -314.64
🎮 Episode 58 | Step: 6,064 | Reward: -194.07 | Avg-100: -312.57
🎮 Episode 59 | Step: 6,102 | Reward: -120.57 | Avg-100: -309.31
🎮 Episode 60 | Step: 6,127 | Reward: -104.22 | Avg-100: -305.89
🎮 Episode 61 | Step: 6,203 | Reward: -274.66 | Avg-100: -305.38
🎮 Episode 62 | Step: 6,251 | Reward: -142.50 | Avg-100: -302.75
🎮 Episode 63 | Step: 6,273 | Reward: -48.49 | Avg-100: -298.72
