[INFO] Creating 12 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30 minutes for 8M steps!
[INFO] VANILLA MODE: No reward shaping!

============================================================
[START] VANILLA TRAINING
============================================================

[EPISODE 100] Step: 18,192 | Reward: -39.66 | Avg-100: -70.68
[BEST MODEL] New record! Avg Reward: -70.68
[EPISODE 101] Step: 18,936 | Reward: -87.45 | Avg-100: -71.35
[EPISODE 102] Step: 19,644 | Reward: -10.72 | Avg-100: -71.27
[EPISODE 103] Step: 19,740 | Reward: -34.19 | Avg-100: -71.39
[EPISODE 104] Step: 19,956 | Reward: -18.22 | Avg-100: -71.24
[EPISODE 105] Step: 20,208 | Reward: 2.91 | Avg-100: -70.80
[EPISODE 106] Step: 20,460 | Reward: -38.44 | Avg-100: -71.26
[EPISODE 107] Step: 20,652 | Reward: -164.91 | Avg-100: -72.91
[EPISODE 108] Step: 20,664 | Reward: -427.56 | Avg-100: -76.81
[EPISODE 109] Step: 20,808 | Reward: -59.58 | Avg-100: -76.98
[EPISODE 110] Step: 20,868 | Reward: -276.83 | Avg-100: -78.75
[EPISODE 111] Step: 21,084 | Reward: -13.39 | Avg-100: -78.58
[EPISODE 112] Step: 21,396 | Reward: -103.05 | Avg-100: -79.41
[EPISODE 113] Step: 21,552 | Reward: -132.37 | Avg-100: -80.68
[EPISODE 114] Step: 21,696 | Reward: 15.35 | Avg-100: -80.48
[EPISODE 115] Step: 22,080 | Reward: -26.91 | Avg-100: -80.02
[EPISODE 116] Step: 22,236 | Reward: -47.70 | Avg-100: -80.32
[EPISODE 117] Step: 24,828 | Reward: -179.45 | Avg-100: -81.21
[EPISODE 118] Step: 25,164 | Reward: -225.60 | Avg-100: -83.35
[EPISODE 119] Step: 25,296 | Reward: -443.25 | Avg-100: -87.73
[EPISODE 120] Step: 25,452 | Reward: 5.52 | Avg-100: -86.71
[EPISODE 121] Step: 25,476 | Reward: -138.58 | Avg-100: -87.91
[EPISODE 122] Step: 25,512 | Reward: -65.39 | Avg-100: -88.11
[EPISODE 123] Step: 25,956 | Reward: -33.96 | Avg-100: -87.10
[EPISODE 124] Step: 26,052 | Reward: -293.97 | Avg-100: -89.34
[EPISODE 125] Step: 26,256 | Reward: -46.68 | Avg-100: -89.72
[EPISODE 126] Step: 26,364 | Reward: 4.75 | Avg-100: -89.29
[EPISODE 127] Step: 26,820 | Reward: -126.96 | Avg-100: -90.32
[EPISODE 128] Step: 26,964 | Reward: -377.78 | Avg-100: -94.08
[EPISODE 129] Step: 27,012 | Reward: -46.36 | Avg-100: -94.01
[EPISODE 130] Step: 27,072 | Reward: -23.17 | Avg-100: -94.16
[EPISODE 131] Step: 27,456 | Reward: -11.19 | Avg-100: -93.80
[EPISODE 132] Step: 27,624 | Reward: -297.00 | Avg-100: -96.44
[EPISODE 133] Step: 27,876 | Reward: -18.04 | Avg-100: -96.06
[EPISODE 134] Step: 28,176 | Reward: -21.41 | Avg-100: -96.15
[EPISODE 135] Step: 28,188 | Reward: -23.25 | Avg-100: -96.32
[EPISODE 136] Step: 28,248 | Reward: -26.15 | Avg-100: -96.46
[EPISODE 137] Step: 28,260 | Reward: -49.93 | Avg-100: -96.83
[EPISODE 138] Step: 28,296 | Reward: -53.49 | Avg-100: -97.34
[EPISODE 139] Step: 28,488 | Reward: 5.94 | Avg-100: -97.09
[EPISODE 140] Step: 28,572 | Reward: -1.03 | Avg-100: -96.95
[EPISODE 141] Step: 28,692 | Reward: -1.96 | Avg-100: -96.02
[EPISODE 142] Step: 28,884 | Reward: -12.87 | Avg-100: -95.21
[EPISODE 143] Step: 29,076 | Reward: -7.54 | Avg-100: -94.59
[EPISODE 144] Step: 29,244 | Reward: -29.55 | Avg-100: -94.71
[EPISODE 145] Step: 29,412 | Reward: -10.37 | Avg-100: -94.61
[EPISODE 146] Step: 29,448 | Reward: -367.41 | Avg-100: -97.83
[EPISODE 147] Step: 29,604 | Reward: -45.29 | Avg-100: -98.07
[EPISODE 148] Step: 29,952 | Reward: 1.73 | Avg-100: -97.11
[EPISODE 149] Step: 29,964 | Reward: -35.00 | Avg-100: -95.95
[EPISODE 150] Step: 30,120 | Reward: -34.86 | Avg-100: -96.18
[EPISODE 151] Step: 30,672 | Reward: -39.92 | Avg-100: -95.60
[EPISODE 152] Step: 30,912 | Reward: -22.74 | Avg-100: -95.77
[EPISODE 153] Step: 30,936 | Reward: -21.95 | Avg-100: -95.47
[EPISODE 154] Step: 31,200 | Reward: -22.91 | Avg-100: -94.81
[EPISODE 155] Step: 31,404 | Reward: 11.73 | Avg-100: -94.09
[EPISODE 156] Step: 31,464 | Reward: -14.06 | Avg-100: -93.51
[EPISODE 157] Step: 31,476 | Reward: -56.56 | Avg-100: -93.48
[EPISODE 158] Step: 31,956 | Reward: -9.33 | Avg-100: -93.36
[EPISODE 159] Step: 32,028 | Reward: -2.63 | Avg-100: -93.17
[EPISODE 160] Step: 32,484 | Reward: -19.84 | Avg-100: -88.09
[EPISODE 161] Step: 32,808 | Reward: -302.91 | Avg-100: -86.58
[EPISODE 162] Step: 32,808 | Reward: -34.89 | Avg-100: -82.51
[EPISODE 163] Step: 32,868 | Reward: 30.49 | Avg-100: -82.06
[EPISODE 164] Step: 32,868 | Reward: -355.98 | Avg-100: -85.26
[EPISODE 165] Step: 33,072 | Reward: -1.79 | Avg-100: -81.24
[EPISODE 166] Step: 33,156 | Reward: -14.35 | Avg-100: -81.25
[EPISODE 167] Step: 33,216 | Reward: -10.24 | Avg-100: -81.19
[EPISODE 168] Step: 33,360 | Reward: -72.85 | Avg-100: -81.64
[EPISODE 169] Step: 33,612 | Reward: -58.39 | Avg-100: -82.18
[EPISODE 170] Step: 33,756 | Reward: -23.27 | Avg-100: -80.66
[EPISODE 171] Step: 34,068 | Reward: -20.45 | Avg-100: -76.19
[EPISODE 172] Step: 34,080 | Reward: -225.57 | Avg-100: -78.22
[EPISODE 173] Step: 34,512 | Reward: -4.96 | Avg-100: -78.07
[EPISODE 174] Step: 34,800 | Reward: -78.35 | Avg-100: -78.41
[EPISODE 175] Step: 34,872 | Reward: 30.92 | Avg-100: -73.32
[EPISODE 176] Step: 34,884 | Reward: -8.92 | Avg-100: -72.92
[EPISODE 177] Step: 35,004 | Reward: 4.96 | Avg-100: -68.57
[EPISODE 178] Step: 35,220 | Reward: -39.70 | Avg-100: -68.59
[EPISODE 179] Step: 35,604 | Reward: -11.18 | Avg-100: -68.39
[EPISODE 180] Step: 36,276 | Reward: -23.46 | Avg-100: -67.63
[EPISODE 181] Step: 36,312 | Reward: -54.89 | Avg-100: -68.04
[EPISODE 182] Step: 36,444 | Reward: -48.92 | Avg-100: -68.31
[BEST MODEL] New record! Avg Reward: -68.31
[EPISODE 183] Step: 36,876 | Reward: -13.36 | Avg-100: -68.12
[EPISODE 184] Step: 36,924 | Reward: 7.31 | Avg-100: -67.32
[EPISODE 185] Step: 37,476 | Reward: -302.78 | Avg-100: -70.17
[EPISODE 186] Step: 37,512 | Reward: -129.38 | Avg-100: -70.63
[EPISODE 187] Step: 37,632 | Reward: -5.39 | Avg-100: -70.82
