 Ödül: -4799.10, Son 100 Bölüm Ort. Ödül: -11093.54
Adım: 309709, Bölüm Bitti, Ödül: -2888.41, Son 100 Bölüm Ort. Ödül: -11075.21
Adım: 309742, Bölüm Bitti, Ödül: -6363.42, Son 100 Bölüm Ort. Ödül: -11083.40
Adım: 309819, Bölüm Bitti, Ödül: -17053.66, Son 100 Bölüm Ort. Ödül: -11109.38
Adım: 309864, Bölüm Bitti, Ödül: -10141.85, Son 100 Bölüm Ort. Ödül: -11107.10
Adım: 309882, Bölüm Bitti, Ödül: -3754.80, Son 100 Bölüm Ort. Ödül: -11101.78
Adım: 309907, Bölüm Bitti, Ödül: -5904.50, Son 100 Bölüm Ort. Ödül: -11135.84
Adım: 309914, Bölüm Bitti, Ödül: -1871.53, Son 100 Bölüm Ort. Ödül: -11052.62
Adım: 309924, Bölüm Bitti, Ödül: -2253.96, Son 100 Bölüm Ort. Ödül: -11043.91
Adım: 309969, Bölüm Bitti, Ödül: -9104.66, Son 100 Bölüm Ort. Ödül: -11109.70
Adım: 309980, Bölüm Bitti, Ödül: -2609.61, Son 100 Bölüm Ort. Ödül: -11108.99
Adım: 310000, Bölüm Bitti, Ödül: -4414.11, Son 100 Bölüm Ort. Ödül: -11132.72
Adım: 310024, Bölüm Bitti, Ödül: -4826.03, Son 100 Bölüm Ort. Ödül: -11122.44
Adım: 310055, Bölüm Bitti, Ödül: -7382.11, Son 100 Bölüm Ort. Ödül: -11163.34
Adım: 310072, Bölüm Bitti, Ödül: -4346.14, Son 100 Bölüm Ort. Ödül: -11049.25
Adım: 310101, Bölüm Bitti, Ödül: -5922.15, Son 100 Bölüm Ort. Ödül: -11065.75
Adım: 310143, Bölüm Bitti, Ödül: -8871.09, Son 100 Bölüm Ort. Ödül: -11065.15
Adım: 310152, Bölüm Bitti, Ödül: -1316.49, Son 100 Bölüm Ort. Ödül: -11044.11
Adım: 310181, Bölüm Bitti, Ödül: -7218.44, Son 100 Bölüm Ort. Ödül: -11006.48
Adım: 310190, Bölüm Bitti, Ödül: -1769.78, Son 100 Bölüm Ort. Ödül: -10874.12
Adım: 310252, Bölüm Bitti, Ödül: -14647.12, Son 100 Bölüm Ort. Ödül: -10997.33
Adım: 310303, Bölüm Bitti, Ödül: -11787.68, Son 100 Bölüm Ort. Ödül: -11084.09
Adım: 310326, Bölüm Bitti, Ödül: -4959.30, Son 100 Bölüm Ort. Ödül: -11032.40
Adım: 310348, Bölüm Bitti, Ödül: -4665.22, Son 100 Bölüm Ort. Ödül: -10994.55
Adım: 310402, Bölüm Bitti, Ödül: -11096.53, Son 100 Bölüm Ort. Ödül: -11076.81
Adım: 310431, Bölüm Bitti, Ödül: -5839.19, Son 100 Bölüm Ort. Ödül: -8973.97
Adım: 310488, Bölüm Bitti, Ödül: -12144.23, Son 100 Bölüm Ort. Ödül: -9070.64
Adım: 310515, Bölüm Bitti, Ödül: -5845.81, Son 100 Bölüm Ort. Ödül: -9041.89
Adım: 310528, Bölüm Bitti, Ödül: -2097.49, Son 100 Bölüm Ort. Ödül: -9024.00
Adım: 310616, Bölüm Bitti, Ödül: -18139.60, Son 100 Bölüm Ort. Ödül: -9161.20
Adım: 310721, Bölüm Bitti, Ödül: -21856.63, Son 100 Bölüm Ort. Ödül: -9282.49
Adım: 310777, Bölüm Bitti, Ödül: -14017.17, Son 100 Bölüm Ort. Ödül: -9378.50
Adım: 310796, Bölüm Bitti, Ödül: -3472.88, Son 100 Bölüm Ort. Ödül: -9359.57
Adım: 310824, Bölüm Bitti, Ödül: -5923.69, Son 100 Bölüm Ort. Ödül: -9355.86
Adım: 310840, Bölüm Bitti, Ödül: -3873.35, Son 100 Bölüm Ort. Ödül: -9239.85
Adım: 310874, Bölüm Bitti, Ödül: -7154.37, Son 100 Bölüm Ort. Ödül: -9263.22
Adım: 310890, Bölüm Bitti, Ödül: -2862.63, Son 100 Bölüm Ort. Ödül: -9261.90
Adım: 310950, Bölüm Bitti, Ödül: -13820.96, Son 100 Bölüm Ort. Ödül: -9274.33
Adım: 310963, Bölüm Bitti, Ödül: -2943.06, Son 100 Bölüm Ort. Ödül: -9261.14
Adım: 311615, Bölüm Bitti, Ödül: -141125.78, Son 100 Bölüm Ort. Ödül: -10602.58
Adım: 311631, Bölüm Bitti, Ödül: -2589.43, Son 100 Bölüm Ort. Ödül: -10579.23
Adım: 311643, Bölüm Bitti, Ödül: -2704.31, Son 100 Bölüm Ort. Ödül: -10562.95
Adım: 311694, Bölüm Bitti, Ödül: -10307.58, Son 100 Bölüm Ort. Ödül: -10593.24
Adım: 311711, Bölüm Bitti, Ödül: -4408.96, Son 100 Bölüm Ort. Ödül: -10599.36
Adım: 311772, Bölüm Bitti, Ödül: -13545.62, Son 100 Bölüm Ort. Ödül: -10669.60
Adım: 311836, Bölüm Bitti, Ödül: -13681.84, Son 100 Bölüm Ort. Ödül: -10784.68
Adım: 311889, Bölüm Bitti, Ödül: -12308.73, Son 100 Bölüm Ort. Ödül: -10865.55
Adım: 311934, Bölüm Bitti, Ödül: -10219.76, Son 100 Bölüm Ort. Ödül: -10828.93
Adım: 311951, Bölüm Bitti, Ödül: -3577.53, Son 100 Bölüm Ort. Ödül: -9605.20
Adım: 311968, Bölüm Bitti, Ödül: -3790.16, Son 100 Bölüm Ort. Ödül: -9547.67
Adım: 311989, Bölüm Bitti, Ödül: -3752.30, Son 100 Bölüm Ort. Ödül: -9561.41
Adım: 312003, Bölüm Bitti, Ödül: -2700.80, Son 100 Bölüm Ort. Ödül: -9547.54
Adım: 312016, Bölüm Bitti, Ödül: -3413.01, Son 100 Bölüm Ort. Ödül: -9555.89
Adım: 312040, Bölüm Bitti, Ödül: -4700.68, Son 100 Bölüm Ort. Ödül: -9574.83
Adım: 312085, Bölüm Bitti, Ödül: -9136.91, Son 100 Bölüm Ort. Ödül: -9543.04
Adım: 312096, Bölüm Bitti, Ödül: -2554.40, Son 100 Bölüm Ort. Ödül: -9447.84
Adım: 312142, Bölüm Bitti, Ödül: -9779.50, Son 100 Bölüm Ort. Ödül: -9508.30
Adım: 312203, Bölüm Bitti, Ödül: -13747.53, Son 100 Bölüm Ort. Ödül: -9625.27
Adım: 312218, Bölüm Bitti, Ödül: -3751.51, Son 100 Bölüm Ort. Ödül: -9635.50
Adım: 312259, Bölüm Bitti, Ödül: -9214.05, Son 100 Bölüm Ort. Ödül: -9633.60
Adım: 312273, Bölüm Bitti, Ödül: -3243.39, Son 100 Bölüm Ort. Ödül: -9604.08
Adım: 312308, Bölüm Bitti, Ödül: -7691.18, Son 100 Bölüm Ort. Ödül: -9603.49
Adım: 312328, Bölüm Bitti, Ödül: -5262.58, Son 100 Bölüm Ort. Ödül: -8846.82
Adım: 312347, Bölüm Bitti, Ödül: -3523.61, Son 100 Bölüm Ort. Ödül: -8823.56
Adım: 312367, Bölüm Bitti, Ödül: -3565.54, Son 100 Bölüm Ort. Ödül: -8740.04
Adım: 312376, Bölüm Bitti, Ödül: -1817.51, Son 100 Bölüm Ort. Ödül: -8633.97
Adım: 312406, Bölüm Bitti, Ödül: -7417.70, Son 100 Bölüm Ort. Ödül: -8589.27
Adım: 313406, Bölüm Bitti, Ödül: -214286.76, Son 100 Bölüm Ort. Ödül: -10592.98
Adım: 313423, Bölüm Bitti, Ödül: -3213.75, Son 100 Bölüm Ort. Ödül: -10551.23
Adım: 313453, Bölüm Bitti, Ödül: -7219.22, Son 100 Bölüm Ort. Ödül: -10569.53
Adım: 313466, Bölüm Bitti, Ödül: -2655.16, Son 100 Bölüm Ort. Ödül: -9699.20
Adım: 313490, Bölüm Bitti, Ödül: -6100.12, Son 100 Bölüm Ort. Ödül: -9709.48
